               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.025373,           0.0096761,           0.0026529,             0.98486,             0.97353,             0.98396,             0.66849,            0.017095,            0.003652,            0.000374,            0.070015,           0.0033317,           0.0033317
                   1,            0.023836,           0.0084926,           0.0017773,              0.9856,              0.9897,             0.99001,             0.68374,            0.016261,           0.0034115,          0.00032248,            0.039949,           0.0065991,           0.0065991
                   2,            0.025547,           0.0087857,           0.0027515,              0.9871,             0.98291,             0.99149,             0.67747,            0.017077,           0.0035318,          0.00052434,           0.0098167,           0.0098004,           0.0098004
                   3,            0.027309,           0.0092517,           0.0035451,             0.98252,             0.98452,             0.99062,             0.66454,            0.016801,           0.0034647,          0.00049713,            0.009703,            0.009703,            0.009703
                   4,             0.02655,           0.0090011,           0.0031338,             0.98965,             0.98776,             0.99057,             0.68884,            0.016043,           0.0033534,          0.00040772,            0.009703,            0.009703,            0.009703
                   5,            0.026235,           0.0089585,           0.0029404,              0.9899,             0.98976,             0.99137,             0.69705,            0.015748,           0.0032922,          0.00036192,            0.009604,            0.009604,            0.009604
                   6,            0.025347,           0.0086871,           0.0026109,             0.98954,             0.99045,              0.9923,             0.70274,            0.015327,           0.0032294,          0.00034959,            0.009505,            0.009505,            0.009505
                   7,            0.025233,           0.0086121,           0.0024978,             0.98891,             0.99096,             0.99234,              0.7098,            0.014981,           0.0032024,          0.00030955,            0.009406,            0.009406,            0.009406
                   8,            0.024973,           0.0085509,           0.0024971,             0.99295,             0.98892,             0.99276,             0.71933,            0.014617,           0.0031322,          0.00033612,            0.009307,            0.009307,            0.009307
                   9,            0.024686,           0.0085198,           0.0022988,             0.99216,              0.9917,             0.99155,             0.71681,            0.014649,           0.0031036,          0.00026951,            0.009208,            0.009208,            0.009208
                  10,            0.024611,           0.0084795,           0.0023236,             0.98923,             0.99079,             0.99189,             0.71738,             0.01442,           0.0031122,          0.00028764,            0.009109,            0.009109,            0.009109
                  11,            0.024799,           0.0085479,           0.0025711,             0.98764,             0.98864,             0.99202,             0.72338,            0.014388,           0.0030986,          0.00023558,             0.00901,             0.00901,             0.00901
                  12,            0.024369,           0.0083345,           0.0021776,             0.99073,             0.99001,               0.992,             0.72801,            0.014089,           0.0030332,          0.00023252,            0.008911,            0.008911,            0.008911
                  13,            0.024149,           0.0084352,           0.0022979,             0.99101,             0.99145,             0.99113,             0.72737,            0.014034,           0.0030383,          0.00026631,            0.008812,            0.008812,            0.008812
                  14,            0.024062,           0.0082505,           0.0020843,             0.99271,              0.9923,             0.99202,             0.73604,            0.013788,           0.0029909,          0.00026535,            0.008713,            0.008713,            0.008713
                  15,            0.023896,           0.0082478,           0.0020958,             0.98947,             0.99161,             0.99211,             0.73654,            0.013665,           0.0029573,          0.00022269,            0.008614,            0.008614,            0.008614
                  16,            0.023656,           0.0082712,           0.0019744,             0.98861,             0.99112,             0.99238,             0.73961,            0.013602,           0.0029382,          0.00021939,            0.008515,            0.008515,            0.008515
                  17,            0.023606,           0.0082101,           0.0019828,             0.98956,             0.99272,             0.99204,             0.74219,            0.013455,           0.0029353,           0.0002119,            0.008416,            0.008416,            0.008416
                  18,            0.023459,           0.0081505,           0.0018608,             0.99039,             0.99212,             0.99195,             0.74677,            0.013373,           0.0029003,          0.00023732,            0.008317,            0.008317,            0.008317
                  19,            0.023535,           0.0082245,           0.0020312,             0.99103,             0.99165,             0.99201,             0.74701,            0.013303,            0.002896,          0.00021745,            0.008218,            0.008218,            0.008218
